id,order_no,product_name,unit,quantity,unit_price,total_price,remark
150,"20231128001","酸臭方块","件",1,332,332,""
151,"20231128001","鱼浪酒米","瓶",30,2.3,69,""
152,"20231128001","蚯蚓","盒",80,2,160,""
153,"20231203001","九狼翻板钩","包",100,3,300,""
154,"20231203001","狼牙手绑钩","板",5,12,60,""
155,"20231203001","南极虾粉","包",30,3.2,96,""
156,"20231203001","蚯蚓","盒",30,2,60,""
157,"20231203001","蓝凳子","把",5,9.5,47.5,""
158,"20231203001","3.6米钓竿","支",10,10,100,""
159,"20231203001","4.5米钓竿","支",10,14,140,""
160,"20231206001","斩妖","支",2,78,156,""
161,"20231206001","斩妖","支",3,93,279,""
162,"20231206001","斩妖","支",3,105,315,""
163,"20231206001","斩妖","支",2,123,246,""
164,"20231206001","斩妖","支",2,138,276,""
165,"20231206001","伏兵","支",5,45,225,""
166,"20231206001","伏兵","支",5,50,250,""
167,"20231206001","风神","支",2,45,90,""
168,"20231206001","风神","支",2,53,106,""
169,"20231206001","风神","支",2,61,122,""
170,"20231206001","风神","支",2,69,138,""
171,"20231206001","大鲫终结者","包",10,10,100,""
172,"20231206001","地狱猫","包",10,6.9,69,""
173,"20231206001","蓝鲫X5","包",10,8.3,83,""
174,"20231206001","鲫鱼套餐","包",10,6.4,64,""
175,"20231206001","血麦","瓶",10,3,30,""
176,"20231207001","蓝鲫X5","包",20,8.3,166,""
177,"20231207001","拉丝粉","包",30,1,30,""
178,"20231207001","名捕","瓶",10,6,60,""
179,"20231207001","蚯蚓","盒",30,2,60,""
180,"20231207001","九一八狂拉","包",15,7.8,117,""
181,"20231207001","草莓方块","包",10,8.3,83,""
182,"20231207001","白鲨酸臭方
块","件",2,332,664,""
183,"20231207001","小速攻腥版","包",10,4,40,""
184,"20231210001","牛P红虫颗粒","件",1,210,210,""
185,"20231210001","全能腥","件",1,390,390,""
186,"20231213002","地狱猫腥","包",10,6.9,69,""
187,"20231213002","地狱猫香","包",10,6.9,69,""
188,"20231213002","野牛一号","包",10,6.5,65,""
189,"20231226002","蚯蚓","盒",50,2,100,""
190,"20231226002","易包搞定腥 
 香","包",20,12,240,""
191,"20231230003","天元千里香","包",10,15.5,155,""
192,"20231230003","蚯蚓","盒",50,2,100,""
193,"20231230003","白鲨酸臭方
块","件",1,332,332,""
194,"20231231002","傲湖太空豆","包",20,0.6,12,""
195,"20231231002","狼牙手绑钩","板",5,12,60,""
196,"20231231002","天元虾肉散
炮","包",3,12,36,""
