id,name,global_price,unit
212,"7节毫",5.3,"个"
213,"加重虾笼",22,"个"
214,"天元鲢鳙2袋",10,"包"
215,"老鬼黑鲢",10,"包"
216,"浮底抽心果味",37,"包"
217,"全能腥香",6.6,"包"
218,"万能蚯蚓",2.3,"包"
219,"密制羊油饼",4,"包"
220,"冠军杯大师版",260,"支"
221,"1十1草",4,"瓶"
222,"锐鹰子线钩袖1号",2.7,"包"
223,"鲢鳙漂",0.5,"个"
224,"亮片",3.8,"个"
225,"米诺",4,"个"
226,"软鱼",4,"包"
227,"好糠饼",9.5,"个"
228,"浮底抽心本味",37,"包"
229,"川井十字方块钩",3.5,"包"
230,"钓鱼王腥香",5.5,"包"
231,"剪刀",4.5,"把"
232,"3指网",14,"条"
233,"不锈钢抄网杆",10,"支"
234,"饵料球",0.12,"个"
235,"神奇小米",4,"瓶"
236,"纯玉米窝",6,"包"
237,"酒糟窝",6,"包"
238,"天元鲢鳙2代",6,"包"
239,"地狱猫腥香",6.6,"个"
240,"全能腥香",7.8,"包"
241,"台杆尖",3,"支"
242,"绿线",1,"把"
243,"换大8孔伞笼",1,"个"
244,"黑坑线组4.5m",5,"付"
245,"3.6m",5,"付"
246,"7.2m",5,"付"
247,"虾满笼",3.2,"件"
248,"纵横江湖速攻",8,"包"
249,"渔护",9,"个"
250,"特价鱼护",18,"个"
251,"老坛五谷杂粮",8,"包"
252,"防鸟网长",17,"条"
253,"中长",8.5,"条"
254,"手绑金袖",12,"板"
255,"黑坑线组7.2m",5,"付"
256,"左鳙右爆",10,"包"
257,"志强鲢鳙",10.5,"包"
258,"鳝大娃",6,"瓶"
259,"虾诱灵",3.5,"瓶"
260,"亮剑伊势尼",2.5,"包"
261,"舞动天元嫩玉米",11,"包"
262,"深水炸弹",2.5,"包"
263,"老秘方",2.5,"包"
264,"黑猫",6.5,"包"
265,"白猫",6.5,"包"
266,"特大电子漂",3.2,"个"
267,"3.6黑坑线组",5,"付"
268,"鲢鳙铅坠",1,"个"
269,"易包搞定腥香",12.5,"包"
270,"欧申发光棒",50,"盒"
271,"特大鲢鱼漂",0.7,"个"
272,"1指撒网",100,"条"
273,"天元鲢鳙二代",10,"包"
274,"锐鹰子线钩袖",2.7,"包"
275,"甲鱼钩线组",2,"套"
276,"黄尾刺客",5.5,"包"
277,"黄尾G窝",7,"包"
278,"1+1草",4,"瓶"
279,"大物变色电子漂",12,"套"
280,"8孔",10,"个"
281,"蛮将",25,"支"
282,"易包搞定腥香",12,"包"
283,"巨物网头",18,"个"
284,"快意江湖大混养",21,"包"
285,"九一八",7.8,"包"
286,"500米线",18,"盘"
287,"蓝魔轮",40,"个"
288,"火麒麟尖12节",15,"套"
289,"鲢鱼铅",0.7,"个"
290,"七节毫",5.3,"个"
291,"牛B水大",7,"瓶"
292,"大8孔伞笼",11.5,"个"
293,"三层网4指",23,"条"
294,"黑色鲢鳙漂",0.5,"个"
